"slug","source","status","matched_title"
"realme-note-60","amazon","ok","realme Note 70T 4G Smartphone 4+256GB, 6.75 inch Screen, Black, 90Hz Display, 6000mAh Battery, 32MP Camera, Powerful Octa-..."
"nokia-c32","amazon","ok","Nokia C32 | Android 13 | 3-Day Battery | Dual SIM | 50MP Dual Camera | 4/128GB | 6.5-Inch Screen | Unlocked GSM Smartphone..."
"honor-magic-7-pro","amazon","ok","HONOR Magic7 Pro Dual-SIM 1TB ROM + 16GB RAM (GSM Only | No CDMA) Factory Unlocked 5G Smartphone (Lunar Shadow Grey) - Int..."
"honor-magic-7","","no-match","no confident match on amazon"
"honor-200-pro","amazon","ok","HONOR 200 Dual-SIM 512GB ROM + 12GB RAM (GSM | CDMA) Factory Unlocked 5G Smartphone (Emerald Green) - International Version"
"vivo-y29-5g","amazon","ok","Rfvzubemok Compatible with Vivo Y29 5G,Compatible with Vivo Y19s 4G,Compatible with MagSafe Magnetic Anti-Crash and Anti-D..."
"zte-nubia-flip-2","","no-match","no confident match on amazon"
"macbook-air-15-m3","amazon","ok","Apple 2024 MacBook Air with Apple M3 Chip (15-inch, 8GB RAM, 256GB SSD Storage) - Midnight (Renewed)"
"macbook-air-13-m2","amazon","ok","Apple 2022 MacBook Air with Apple M2 Chip, 13-inch, 8GB RAM, 256GB SSD Storage - Space Gray (Renewed)"
"macbook-air-13-m1","amazon","ok","Apple MacBook Air 13-Inch Laptop Space Gray | M1 Chip 8GB Memory 256GB SSD | Retina Display, Backlit Keyboard, Touch ID, L..."
"macbook-pro-13-m2","amazon","ok","Apple 2022 MacBook Air with Apple M2 Chip, 13-inch, 8GB RAM, 256GB SSD Storage - Space Gray (Renewed)"
"macbook-pro-13-m1","amazon","ok","Apple Late 2020 MacBook Pro with Apple M1 Chip, 13.3-inch, 16GB RAM, 1TB SSD Space Gray (Renewed)"
"macbook-air-13-retina-2020-intel","amazon","ok","Apple Early 2020 MacBook Air with 1.1GHz Intel Core i3, 13-inch, 8GB RAM, 256GB SSD Storage, Gold (Renewed)"
"macbook-pro-16-2019-intel","amazon","ok","Apple MacBook Pro Late 2019 with 2.6GHz Intel Core i7 (16 inch, 16GB RAM, 512GB) Space Gray (Renewed)"
"macbook-pro-13-2019-intel","amazon","ok","Apple 2019 MacBook Pro with 1.4 GHz Intel Core i5, 13-inch, 8GB RAM, 128GB Storage - Silver (Renewed)"
"hp-spectre-x360-14","amazon","ok","HP Spectre x360 2-in-1 Business Laptop, 2024, 14&quot; 2880 x 1800 120Hz Touch, Intel-16 CoreIntel Evo Core Ultra 7 155H, 32GB ..."
"hp-elitebook-1040-g11","amazon","ok","HP EliteBook x360 1040 G11 2-in-1 Business AI Laptop 14.0&quot; Touchscreen OLED 2.8K Display (Intel Ultra 7-155H vPro, 32GB RA..."
"hp-probook-450-g11","","no-match","no confident match on amazon"
"hp-omen-16","amazon","ok","HP OMEN 16&quot; Gaming Laptop Computer, Intel Ultra 9 285H 16-Core, NVIDIA GeForce RTX 5070 8GB, 16GB DDR5, 1TB PCIe SSD, 144H..."
"hp-victus-15","amazon","ok","HP Victus 15-FA100 2024 Gaming Laptop 15.6&quot; FHD IPS 144Hz 8-Core Intel i5-13420H 16GB DDR4 512GB SSD NVIDIA GeForce RTX 40..."
"hp-pavilion-aero-13","amazon","ok","HP OmniBook 7 Aero Laptop - Next Gen AI - 13.3&quot; WUXGA Display - Windows 11 Home, AMD Ryzen AI 7-16GB RAM, 1TB SSD - Glacie..."
"hp-250-g10","amazon","ok","HP 2026 15.6&quot; Laptop 250 G10, 13th Gen Intel i7-1355U (10-Core, Up to 5.0GHz), 15.6&quot; FHD Display, 20GB RAM, 512GB SSD, Num..."
"dell-xps-13-2025","amazon","ok","Dell XPS 13 9350 AI PC Business Laptop, (13.4&quot; FHD+ 120Hz, Intel Core Ultra 7 256V, 16GB DDR5, 1TB SSD) Copilot+ PC, 2x Th..."
"dell-latitude-7450","amazon","ok","Dell Latitude 7450 7000, 2-in-1 Business AI Laptop (14&quot; FHD+ Touch, Intel Ultra 7 165U (&gt; i7-1365U), 16GB DDR5, 512GB SSD)..."
"dell-g15-gaming","amazon","ok","Dell Gaming G15 5511, 15.6-inch inch FHD 120Hz Non-Touch Laptop - Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, NVIDIA G..."
"dell-inspiron-14-2-in-1","amazon","ok","Dell Inspiron 14 2-in-1 Touchscreen Laptop (14&quot; FHD+ IPS, 16GB DDR5 RAM, 512GB SSD, AMD Ryzen 5 8640HS (&gt; intel i7-1255U))..."
"dell-inspiron-15","amazon","ok","DELL 13th Generation Business Inspiron 15 3530 Laptop, 15.6&quot; FHD Touchscreen, Intel Core i7-1355U, 32GB RAM, 1TB SSD, Webc..."
